artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,04:01:33,https://www.ptt.cc/bbs/Gossiping/M.1619841695.A.1E4.html,l42857,Gossiping,11,7,1,"呱吉講的沒錯啊，
比一下八卦版、D卡及臉書噗浪等社群，
PTT明顯就是有網軍再經營，
等一下就會來集體噓文了。

"
[問卦]覺青蟑螂黑道媽祖哪個地位最高？,2021/05/01,05:38:51,https://www.ptt.cc/bbs/Gossiping/M.1619847533.A.AC8.html,ae034,Gossiping,10,4,0,"覺青=網路上，現實生活中發文影響別人
蟑螂=做假圖，造謠洗風向，當黑手，可割可棄，人多勢眾
黑道=抗中保台中堅，共匪打來第一線抵抗共匪,有錢有槍有炮有娘們
媽祖=神一般的存在，大家都得讓他三分

假設一個團體裡有這四種人存在
這個輩份順序怎麼安排？
"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,07:09:55,https://www.ptt.cc/bbs/Gossiping/M.1619852997.A.8EF.html,cary4A240022,Gossiping,597,337,61,"PTT只剩下一種顏色的網軍

然後一直影射是民眾黨

結果被抓出來的都是綠營的

想想當初的3000英靈殿
https://i.imgur.com/hzhEupZ.jpg
直到現在這次事件被抓出來的還是綠的

結果他還是堅持說不改變自己的看法

這種只有顏色沒有是非

連活生生擺在眼前的證據的可能當看不見的人

可憐哪
https://i.imgur.com/Y304H9R.jpg
-
Sent from JPTT on my iPhone

>所以他們都是白色網軍(得證)"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,07:23:41,https://www.ptt.cc/bbs/Gossiping/M.1619853823.A.AF5.html,chal,Gossiping,36,12,4,"這事情很簡單

八掛版有時走在社會前

現在卻與現實脫節

柯支持者的族群

年齡層應該落在低卡

反而佔領了年紀偏高的PTT

不合常情

而且cf支持率也沒有提昇

本來PTT只有選前煩

承平時期應該要各種有趣

柯這種打法根本外行浪費錢

也搞爛了PTT

莫非他真以為他支持率降低是被帶風向嗎

台北市沒搞好

連PTT也不放過
"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,07:27:51,https://www.ptt.cc/bbs/Gossiping/M.1619854081.A.FE5.html,ig49999,Gossiping,162,112,6,"幫大家複習一下

這是2019/12/26

呱吉在自己的頻道上傳的影片

放話
https://youtu.be/Lin3joRaNdg?t=232
然後過了一年多了

2021/4/29於臉書張貼這個留言
https://i.imgur.com/Y6yuHw1.png
幹我要爆料
一年多前說好要抄網軍的底

一年多後說要爆關說議員的料

更不用說前陣子只剩OO黨在養網軍

然後都是

放話！

放話！

放話！

說好的民主開箱卻什麼都只說一半

還是又沒證據只能影射？

名副其實的「民主封箱 苦無證據」

至於真相是什麼

恐怕只有呱吉本人知道了........
選前喊民主開箱 選後民主封箱
被酸很正常啊"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,08:04:52,https://www.ptt.cc/bbs/Gossiping/M.1619856295.A.C77.html,kingfsg7326,Gossiping,7,2,0,"個人雖然覺得韓粉=智障

但至少韓粉敢大聲挺自己想挺的韓導

綠蟑螂反而跟孬種一樣，永遠在背後裝中立

聽到別人說自己是小綠、綠營支持者，這些蟑螂會氣得要死

但又聽到有人在講綠營的不是馬上氣噗噗反擊

當韓粉雖然很丟臉

但當假中立的綠蟑螂更下系下井
某垃圾x藍粉專才好笑  太魯閣才過沒多久
馬上發文檢討柯文哲是交通殺手，下面有人留太魯閣馬上被刪留言
都不是阿  不過有些人會認為只能兩邊擇一站
他們的腦袋組成可能只有0或1而已 ㄎㄎ"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,08:17:13,https://www.ptt.cc/bbs/Gossiping/M.1619857036.A.76C.html,CPer,Gossiping,41,18,2,"身為一個高知識份子
明明很多證據都擺在眼前 卻裝作看不見
卻還是要硬說影射別人是網軍卻又苦無證據

這除了很扯之外可能根本別有用心了吧
我看又是個為了傳說中的抗中保台
可以不顧一切所有不正義行為的人吧
"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,08:46:39,https://www.ptt.cc/bbs/Gossiping/M.1619858801.A.3B6.html,alpac,Gossiping,3,0,0,"大家不用再猜了
https://youtu.be/G2DF9d-H6XQ?t=181
依照南宮博士在2019年的說法，應該就是KMT了


這麼老人的政黨也會玩網軍

這種說法，就好像是在說我阿嬤會打世紀帝國一樣
"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,09:00:27,https://www.ptt.cc/bbs/Gossiping/M.1619859630.A.6EC.html,chirex,Gossiping,20,14,0,"呱吉當然不敢出來講話啦。

按他的個性，

今天如果養網軍的是國民黨、民眾黨、時力、甚至統促黨，

他早就第一個跳出來開幹嗆聲，

說要跟對方沒完沒了，

在議會都敢直接點名開幹國民黨老議員的大砲新議員，

在高雄大港開唱可以公開表示要幹爆韓國瑜跟高雄人，

這麼有Rock精神的人，反正聲明過只作一屆市議員，

什麼不敢講？什麼都不怕!!

至今都不敢出來表態說是什麼顏色有網軍？

其實答案早就呼之欲出了，

只是他就是不敢明講，

不為什麼，

講了會失去很多粉。



什麼顏色這麼厲害？

最近這幾天終於知道了答案了，

原來是【黑色】。




"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,09:54:12,https://www.ptt.cc/bbs/Gossiping/M.1619862854.A.C2E.html,joe255118,Gossiping,32,2,6,"ptt都綠共1450

然後小英跟光頭都被噓爆

時神也不知下神壇下幾次了

呱吉這種綠共側翼

在充斥1450的八卦應該要推高高阿

結果每篇都在喬他

認同他的都被噓

都沒人覺得怪怪的喔?

3000英靈都不知道多久了

還整天3000英靈

影射某黨有網軍

結果整個版都在喬他

只會看起來呱吉是對的不是嗎= =

如果呱吉是錯的

應該整個版都在推這個垃圾綠共才對啊

"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,12:07:49,https://www.ptt.cc/bbs/Gossiping/M.1619870872.A.AF9.html,limoncool,Gossiping,11,6,0,"怎麼到現在還有人在檢討呱吉說的話阿

當初呱吉出來選我就知道這個人絕對有顏色

那時候會信他的鄉民我只能說當時智商一定很低

只要偶爾抓個帳號上來講幾句屁話

鄉民就推爆 真的是有夠白痴的

那時候我就不相信這個網紅講的任何話了

大家都嘛知道台灣的網紅 品信為人 有幾個能信的

要跨足政治 基本上也一定是在某個黨吸夠奶水才敢出來

至於呱吉是吸了哪個黨的奶水 我相信在座的各位應該都很清楚

只能說現在還在檢討他的人 我不知道在想什麼 因為他一開始立場就很明顯了

你現在再來檢討 不就只是在透露你也是當初那817萬低智商的人之一嗎

只有蠢蛋發現自己被騙才會這麼氣

真正的智者這時候早就笑而不語

不過現在看清呱吉這個人也不遲拉

反正這次事件我猜他連個屁都不敢放 ㄏ

八卦版到底只有誰的網軍 我相信只有最常使用八卦版的人才最清楚

每次都會有一堆陌生帳號發大內宣新聞來這裡

不然就是醜化在野黨的新聞

還有帳號負責帶風向洗風向 不論是非只論顏色

只剩哪個顏色的網軍 我相信非常清楚"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,13:32:36,https://www.ptt.cc/bbs/Gossiping/M.1619875959.A.4C7.html,chirex,Gossiping,3,1,0,"真的不能怪他，

如果網軍不是政黨養的，

而是宮廟黑幫養的，

那的確他說的也不能算錯啊。

黑道嘛，

不就有利益就往那邊鑽，

今天這邊給的多，

就兩岸是一家，

明天這邊給的多，

就抗中保台，熱血革命。


至於為什麼沒人敢講？

你看看那個3cm猛男的下場？

人家那麼壯被開三槍都這樣了，

是你你不怕嗎？

"
Re:[新聞]PTT剩1種顏色網軍？呱吉親爆內幕　3層「,2021/05/01,14:30:24,https://www.ptt.cc/bbs/Gossiping/M.1619879426.A.C58.html,BlueBird5566,Gossiping,23,11,2,"邱威傑其實滿可悲的

因為他老想要裝成年輕人 想要當覺青頭子

但其實他的思想根本傳統又老派


在他當議員後 有好幾次po了批評北市府的文

像是護樹啊 大巨蛋啊 還是什麼的

結果都被鄉民打臉

所以他就認為ptt變了  ptt有柯網軍在帶風向

嗯 沒錯

「ptt只要批評xxx 就是因為ptt有柯網軍」

這就是那些傳統政客的想法


在之前講柯文哲有網軍的是哪些人？

不就是那些被ptt罵最慘的政客  像是王世監 王浩宇之類的

只要自己被批評  就一定是對手的網軍搞的鬼

自己完全都沒有問題


可憐的邱威傑一直想裝成跟年輕人同一陣線

但是他跟苗博雅經常被鄉民酸、罵

最後也淪為一般傳統政治小丑

開始胡扯別人有網軍  卻拿不出半點證據

真的是可悲



「年輕人就是該聽我們覺青的話

  不聽的就是老藍腦

  批評我們的就是中共同路人 不然就柯網軍」



這就是覺青政客的想法

"
[問卦]乾綠蟑螂好多隻怎麼辦！？,2021/05/01,15:47:48,https://www.ptt.cc/bbs/Gossiping/M.1619884072.A.8F7.html,a520,Gossiping,9,5,1,"黑道

瑞莎

論文

善款

租屋

做票

電力

藻礁

物價

房價

薪資

工時

生育率

綠蟑螂一大堆

護護護護護護   護航起來

不要讓主子不舒服

讓台灣有台灣價值

讓反對的人都是中共同路人

但台灣對中共依存度越來越高

科科 綠共同路人才是對的

綠蟑螂只要護航到底就夠了對吧

綠蟑螂好多隻不知道有沒有八卦！？

科科

-
Sent from JPTT on my Samsung SM-G970F.
"
[問卦]彭文正484蟑螂軍的最大受害者,2021/05/01,15:53:08,https://www.ptt.cc/bbs/Gossiping/M.1619884392.A.33D.html,pchion2002,Gossiping,98,44,7,"彭P彭文正 名嘴 主持人

今天看到某YT頻道推的一個影片

才想起彭文正在八卦被抹的多慘

只要彭文正三個字出現

推文就是好了啦

被蟑螂把風向帶的很像彭P一直跳針

但認真看完影片

發現他找的證據也非常明確

但在八卦就是炒不起來

所以彭文正

是不是蟑螂軍出現後的最大受害者？"
Re:[問卦]彭文正484蟑螂軍的最大受害者,2021/05/01,16:18:41,https://www.ptt.cc/bbs/Gossiping/M.1619885923.A.D43.html,Borges,Gossiping,12,6,1,"與其說彭文正是蟑螂的受害者
不如說彭文正是蟑螂力量的見證者

當蟑螂奉旨要捧彭文正的時候
不管當時主打的器捐多麼毫無根據與荒謬
都可以在PTT打得聲勢浩大 彷彿柯文哲罪證確鑿

當蟑螂奉旨要毀滅彭文正的時候
不管現在主打的論文門有多少可議之處
都可以在PTT彷彿不存在 彷彿討論蔡總統論文問題的都是智障

所以你以為你喜歡/厭惡的是彭文正
錯了
你只是喜歡了蟑螂要你喜歡的東西而已
你只是厭惡了蟑螂要你厭惡的東西而已
當蟑螂現形之後 反蟑螂大隊才慢慢出現
但第一波風向永遠是蟑螂穩穩帶走
如果是韓國瑜拿817萬票 那當然很可疑
但蔡英文拿817萬票 當然毫無懷疑之處
這個就是網軍蟑螂典型的二階段操作
【潛伏期】裝中立，吸引粉絲，也就是你所說的打國民黨時期
【發功期】開始奉旨搭配蟑螂猛攻特定議題，如果順利就繼續奉旨打下個議題
          如果議題太扯，打到自己陣亡(如脫北者冰狼與台北惡棍)，就RIP換其他蟑螂上"
Re:[問卦]彭文正484蟑螂軍的最大受害者,2021/05/01,16:44:18,https://www.ptt.cc/bbs/Gossiping/M.1619887460.A.40E.html,A6,Gossiping,3,1,0,"沒錯阿 彭就是在太陽花之後

靠正經打馬政府崛起的

反正當時 在荒謬的謊言都有人信

連停播 都非要扯說是政治迫害

中間轉折點 大概是被爆出美國籍開始

後面打柯 話題性又在存了一段時間

而且不論是打馬政府和打柯 很多事情 其實都是說不通 不合理的

我就記得當時 嘴過還蠻多正經的議題

只不過呢 當時一部分覺青裝蠢aka蟑螂 需要利用正經這種政論為風向起頭

一部分覺青是真蠢容易被帶風向



最後不知道為什麼想不開 去弄論文事件

得罪蔡政府的下場都怎麼了 都轉型當YTber了

其實本來綜合正經以往的紀錄 論文事件 估計也沒什麼可信度

不過看民進黨 自己狗咬狗 還是蠻過癮的"
[新聞]松山分局、趙介佑事件PTT上帶風向?發文ID,2021/05/02,06:06:59,https://www.ptt.cc/bbs/Gossiping/M.1619935622.A.E49.html,deathdecay,Gossiping,95,29,35,"松山分局、趙介佑事件PTT上帶風向？發文ID來自香港


記者李鴻典／台北報導

日前中壢警察疑似不當盤查、加上北市警局松山分局黑衣人闖入事件，另，北市北投分局
在提毒犯問訊時，讓已請辭的民進黨北市黨部評委召集人趙映光的兒子趙介佑前往面會送
便當等，被視為警紀崩壞，加上趙介佑疑涉入販毒，讓事件越演越烈。ptt論壇上，則有
一名鄉民接連發文，由於這名發文鄉民IP跳板顯示在「香港」，也引發討論。

PTT上有一名ID為「enjoymklv」的鄉民從4/29-5/1，三天內連續發了五篇文章，主題分別
是：1.[爆卦] 警界高層及議員密集出入四海幫公司打麻將 - Gossiping 板、2.[爆卦]
吳怡農參選主委的幕後大推手-趙氏家族 - Gossiping 板、3.[爆卦] 吳怡農條款大開門
戶成為黑道入黨敲門磚 - Gossiping 板、4.[爆卦] 寄生DPP的黑道幫派-趙映光家族背景
 - Gossiping 板、5.[爆卦] 徐國勇和趙介佑根本不只碰過一次面 - Gossiping 板。

連續五篇貼文都引發討論，網友回文表示，「IP在香港耶」、「網軍來洗風向」、「又一
篇篇了，你這幾天真的活躍」、「政治性爆料突然這麼多，有點不對勁，先觀望看看」、
「沒料就不要爆卦了，感覺只是為爆卦而爆卦」、「手法這麼粗糙也帶的下去？」

另有其他鄉民發文回應指出，「這位ID暱稱為enjoymklv的鄉民擁有者不知為何，每天上
線累積上站次數，既不PO文也不推文，然後在累積4年左右，突然轉變成豹紋ID，IP還用
跳板在香港，484痕跡有點重呀？嘻嘻」。

其他網友則認為，「反正就是網軍操作模式就對了，以前蟑螂手法都看膩了」、「這個人
的爆料很不對勁 各位自己小心不要被牽著鼻子走」、「針對性強烈，然後說自己沒立場
根本笑爛」、「很像典藏的殺手鐧帳號」。
https://www.setn.com/m/news.aspx?newsid=933425"
[新聞]松山分局、趙介佑事件PTT上帶風向？發文I,2021/05/02,06:36:36,https://www.ptt.cc/bbs/Gossiping/M.1619937400.A.BBD.html,feng19890809,Gossiping,85,22,25,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
三立新聞網

2.記者署名:
記者李鴻典／台北報導
3.完整新聞標題:
松山分局、趙介佑事件PTT上帶風向？發文ID來自香港

4.完整新聞內文:
日前中壢警察疑似不當盤查、加上北市警局松山分局黑衣人闖入事件，另，北市北投分局
在提毒犯問訊時，讓已請辭的民進黨北市黨部評委召集人趙映光的兒子趙介佑前往面會送
便當等，被視為警紀崩壞，加上趙介佑疑涉入販毒，讓事件越演越烈。ptt論壇上，則有一
名鄉民接連發文，由於這名發文鄉民IP跳板顯示在「香港」，也引發討論。

 ID-3136575

▲名為「enjoymklv」的鄉民從4/29-5/1，三天內連續發了五篇文章，但其ID來自香港，引
發討論（圖／截自PTT）

PTT上有一名ID為「enjoymklv」的鄉民從4/29-5/1，三天內連續發了五篇文章，主題分別
是：1.[爆卦] 警界高層及議員密集出入四海幫公司打麻將 - Gossiping 板、2.[爆卦] 吳
怡農參選主委的幕後大推手-趙氏家族 - Gossiping 板、3.[爆卦] 吳怡農條款大開門戶成
為黑道入黨敲門磚 - Gossiping 板、4.[爆卦] 寄生DPP的黑道幫派-趙映光家族背景 -
Gossiping 板、5.[爆卦] 徐國勇和趙介佑根本不只碰過一次面 - Gossiping 板。

連續五篇貼文都引發討論，網友回文表示，「IP在香港耶」、「網軍來洗風向」、「又一
篇篇了，你這幾天真的活躍」、「政治性爆料突然這麼多，有點不對勁，先觀望看看」、
「沒料就不要爆卦了，感覺只是為爆卦而爆卦」、「手法這麼粗糙也帶的下去？」

另有其他鄉民發文回應指出，「這位ID暱稱為enjoymklv的鄉民擁有者不知為何，每天上線
累積上站次數，既不PO文也不推文，然後在累積4年左右，突然轉變成豹紋ID，IP還用跳板
在香港，484痕跡有點重呀？嘻嘻」。

 ID-3136576

▲有其他鄉民質疑，發文ID來自香港，484痕跡有點重呀？（圖／截自PTT）

其他網友則認為，「反正就是網軍操作模式就對了，以前蟑螂手法都看膩了」、「這個人
的爆料很不對勁 各位自己小心不要被牽著鼻子走」、「針對性強烈，然後說自己沒立場根
本笑爛」、「很像典藏的殺手鐧帳號」。



5.完整新聞連結 (或短網址):
https://www.setn.com/News.aspx?NewsID=933425
6.備註:

香港人真關心台灣新聞

所以撐港是有一定的效果

希望國外的網友多多關心台灣 謝謝你們愛台灣(?)
"
[新聞]力挺陳嘉昌是因柯媽？柯文哲：典型帶風向,2021/05/02,11:54:53,https://www.ptt.cc/bbs/Gossiping/M.1619956517.A.746.html,hvariables,Gossiping,25,13,3,"https://www.cna.com.tw/news/aipl/202105020054.aspx
力挺陳嘉昌是因柯媽？ 柯文哲：典型帶風向

最新更新：2021/05/02 11:27

（中央社記者王承中台北2日電）外傳台北市長柯文哲拒絕撤換北市警察局長陳嘉昌，媒
體今天詢問柯文哲力挺陳嘉昌，是否因為母親何瑞英關係，柯文哲僅簡短表示，這就是典
型的帶風向，還問「是誰提出來的？」

黑衣人闖北市中崙派出所影像被刪，警政署長陳家欽要求台北市警察局長陳嘉昌交出手機
、必要時測謊。媒體今天報導，早在發生黑衣人闖派出所後不久，警政署高層便曾詢問柯
文哲，有意撤換陳嘉昌，但遭柯文哲拒絕。

對於陳嘉昌是否要被撤換，柯文哲母親何瑞英先前接受媒體訪問時表示，哪裡需要換人，
陳嘉昌也沒做什麼壞事。她說，「不是說我說你不對就不對，這也是有商量的餘地」。

柯文哲上午參加民眾黨召開的「未來能源轉型」研討會，媒體在會前詢問柯文哲「力挺陳
嘉昌，是否是因為柯媽的關係」時，他僅簡短表示，這就是典型的帶風向，「還問是誰提
出來的？」

此外，針對諾富特飯店群聚疫情，新北市長侯友宜批評，指揮中心沒有快速處理，造成嚴
重的疏忽跟漏洞，但衛福部陳時中昨天否認有嚴重疏忽；對此柯文哲僅表示，「航空機組
人員是個破口，要去處理」。（編輯：林淑媛）1100502"
[問卦]管不到房間裡的蟑螂怎麼辦？,2021/05/02,11:58:54,https://www.ptt.cc/bbs/Gossiping/M.1619956736.A.205.html,Darvish903,Gossiping,16,5,5,"欸欸 4窩肥ㄦ辣

最近天氣越來越熱

房間突然跑出蟑螂

本來想要殺死牠

結果因為牠們移動速度太快隨便亂竄

導致肥ㄦ來不及把牠們弄死

最後直接逃竄到衣櫃後面無影無蹤

本肥ㄦ身為房間的主人

竟管不到房間內的蟑螂

怎麼辦？

有沒有呱呱？"
[問卦]現在風向都是怪給1120?,2021/05/02,13:25:36,https://www.ptt.cc/bbs/Gossiping/M.1619961938.A.874.html,Dontco,Gossiping,38,13,5,"稍微看一下近期疫情爆炸的新聞跟文章

感覺現在風向都是怪給1120?

怎麼不是檢討機師從14天變成只隔離3天

也不檢討當時提案的立委


這風向感覺怪怪的

有八卦嗎


"
